swing_state,winner,wins,win_pct
0,A,56,66.66666666666667
0,C,28,33.333333333333336
1,A,88,59.45945945945946
1,C,5,3.3783783783783785
1,F,7,4.72972972972973
1,V,1,0.6756756756756757
1,Ø,47,31.756756756756758
