method,swing_states,test_f1,roc_auc,overfit_gap
switches,37,0.9333333333333333,0.96875,0.03985507246376818
margin,35,0.8333333333333334,0.9428571428571428,-0.007246376811594235
combined,30,0.8571428571428571,0.9444444444444444,0.05797101449275355
