"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - K1";"KV2021 - K2";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ";"KV2021 - Å1";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - 0";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ"
"101012";"101012";"3";"1";"1";"7311";"5222";"47";"9";"5166";"675";"698";"1184";"80";"453";"178";"6";"30";"20";"4";"7";"6";"-";"45";"72";"2";"25";"6";"518";"2";"2";"999";"120";"-";"-";"8";"15";"-";"6";"4";"-";"7311";"5222";"47";"9";"5166";"675";"698";"1184";"80";"453";"178";"6";"30";"20";"4";"7";"6";"-";"45";"72";"2";"25";"6";"518";"2";"2";"999";"120";"1";"8";"15";"-";"6";"4"
"101013";"101013";"3";"1";"1";"11023";"7676";"79";"40";"7557";"1115";"759";"855";"136";"650";"181";"35";"52";"22";"15";"6";"16";"-";"74";"87";"9";"62";"28";"464";"2";"54";"2523";"331";"-";"-";"18";"30";"-";"22";"11";"-";"11023";"7676";"79";"40";"7557";"1115";"759";"855";"136";"650";"181";"35";"52";"22";"15";"6";"16";"-";"74";"87";"9";"62";"28";"464";"2";"54";"2523";"331";"0";"18";"30";"-";"22";"11"
"101014";"101014";"3";"1";"1";"14150";"8744";"111";"23";"8610";"1109";"1039";"2018";"196";"738";"417";"6";"40";"21";"8";"4";"14";"-";"68";"86";"10";"73";"17";"965";"0";"9";"1534";"193";"-";"-";"13";"18";"-";"8";"5";"-";"14150";"8744";"111";"23";"8610";"1109";"1039";"2018";"196";"738";"417";"6";"40";"21";"8";"4";"14";"-";"68";"86";"10";"73";"17";"965";"0";"9";"1534";"193";"1";"13";"18";"-";"8";"5"
"101016";"101016";"4";"1";"1";"13413";"7458";"124";"21";"7313";"1251";"837";"896";"207";"824";"236";"13";"59";"21";"9";"8";"25";"-";"54";"210";"16";"39";"22";"636";"0";"10";"1654";"219";"-";"-";"5";"34";"-";"14";"13";"-";"13413";"7458";"124";"21";"7313";"1251";"837";"896";"207";"824";"236";"13";"59";"21";"9";"8";"25";"-";"54";"210";"16";"39";"22";"636";"0";"10";"1654";"219";"1";"5";"34";"-";"14";"13"
"101017";"101017";"4";"1";"1";"17182";"9452";"165";"31";"9256";"1576";"1041";"988";"195";"1072";"262";"18";"64";"39";"18";"12";"46";"-";"100";"250";"15";"42";"40";"609";"2";"12";"2425";"328";"-";"-";"10";"58";"-";"21";"12";"-";"17182";"9452";"165";"31";"9256";"1576";"1041";"988";"195";"1072";"262";"18";"64";"39";"18";"12";"46";"-";"100";"250";"15";"42";"40";"609";"2";"12";"2425";"328";"1";"10";"58";"-";"21";"12"
"101018";"101018";"4";"1";"1";"9198";"5556";"112";"13";"5431";"1126";"503";"648";"146";"657";"113";"16";"22";"29";"5";"5";"16";"-";"41";"175";"8";"32";"18";"395";"0";"4";"1267";"152";"-";"-";"10";"28";"-";"7";"8";"-";"9198";"5556";"112";"13";"5431";"1126";"503";"648";"146";"657";"113";"16";"22";"29";"5";"5";"16";"-";"41";"175";"8";"32";"18";"395";"0";"4";"1267";"152";"0";"10";"28";"-";"7";"8"
"101019";"101019";"4";"1";"1";"10495";"6624";"84";"18";"6522";"1294";"719";"902";"173";"880";"179";"5";"35";"25";"2";"4";"17";"-";"34";"163";"6";"29";"14";"582";"3";"3";"1238";"177";"-";"-";"4";"19";"-";"7";"7";"-";"10495";"6624";"84";"18";"6522";"1294";"719";"902";"173";"880";"179";"5";"35";"25";"2";"4";"17";"-";"34";"163";"6";"29";"14";"582";"3";"3";"1238";"177";"1";"4";"19";"-";"7";"7"
"101020";"101020";"5";"1";"1";"7336";"4774";"65";"20";"4689";"677";"542";"294";"44";"604";"48";"10";"46";"27";"7";"2";"36";"-";"56";"60";"14";"20";"29";"211";"1";"9";"1725";"187";"-";"-";"8";"20";"-";"4";"7";"-";"7336";"4774";"65";"20";"4689";"677";"542";"294";"44";"604";"48";"10";"46";"27";"7";"2";"36";"-";"56";"60";"14";"20";"29";"211";"1";"9";"1725";"187";"1";"8";"20";"-";"4";"7"
"101021";"101021";"5";"1";"1";"11732";"7647";"109";"11";"7527";"938";"1099";"599";"84";"969";"163";"25";"51";"27";"8";"5";"76";"-";"126";"77";"14";"23";"38";"450";"3";"8";"2397";"277";"-";"-";"21";"23";"-";"13";"12";"-";"11732";"7647";"109";"11";"7527";"938";"1099";"599";"84";"969";"163";"25";"51";"27";"8";"5";"76";"-";"126";"77";"14";"23";"38";"450";"3";"8";"2397";"277";"1";"21";"23";"-";"13";"12"
"101022";"101022";"5";"1";"1";"7171";"4583";"62";"17";"4504";"571";"583";"418";"53";"455";"59";"3";"29";"17";"10";"3";"33";"-";"49";"62";"7";"16";"36";"224";"1";"9";"1688";"133";"-";"-";"8";"15";"-";"11";"11";"-";"7171";"4583";"62";"17";"4504";"571";"583";"418";"53";"455";"59";"3";"29";"17";"10";"3";"33";"-";"49";"62";"7";"16";"36";"224";"1";"9";"1688";"133";"0";"8";"15";"-";"11";"11"
