"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - K1";"KV2021 - K2";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ";"KV2021 - Å1";"KV2021 - Stemmeberettigede";"KV2021 - Afgivne stemmer";"KV2021 - Blanke stemmer";"KV2021 - Andre ugyldige stemmer";"KV2021 - Gyldige stemmer";"KV2021 - A";"KV2021 - B";"KV2021 - C";"KV2021 - D";"KV2021 - F";"KV2021 - I";"KV2021 - J";"KV2021 - G";"KV2021 - K";"KV2021 - N";"KV2021 - H";"KV2021 - M";"KV2021 - S";"KV2021 - U";"KV2021 - O";"KV2021 - Z";"KV2021 - L";"KV2021 - R";"KV2021 - V";"KV2021 - P";"KV2021 - E";"KV2021 - Ø";"KV2021 - Å";"KV2021 - 0";"KV2021 - Q";"KV2021 - T";"KV2021 - W";"KV2021 - Y";"KV2021 - Æ"
"326012";"326012";"38";"5";"2";"3301";"2142";"29";"22";"2091";"535";"107";"109";"158";"239";"6";"-";"-";"-";"-";"20";"-";"-";"-";"107";"-";"-";"-";"663";"-";"-";"138";"-";"-";"-";"-";"-";"-";"-";"9";"-";"3301";"2142";"29";"22";"2091";"535";"107";"109";"158";"239";"6";"-";"-";"-";"-";"20";"-";"-";"-";"107";"-";"-";"-";"663";"-";"-";"138";"-";"-";"-";"-";"-";"-";"9"
"326013";"326013";"38";"5";"2";"2784";"1660";"25";"21";"1614";"505";"61";"57";"147";"143";"5";"-";"-";"-";"-";"17";"-";"-";"-";"145";"-";"-";"-";"443";"-";"-";"80";"-";"-";"-";"-";"-";"-";"-";"11";"-";"2784";"1660";"25";"21";"1614";"505";"61";"57";"147";"143";"5";"-";"-";"-";"-";"17";"-";"-";"-";"145";"-";"-";"-";"443";"-";"-";"80";"-";"-";"-";"-";"-";"-";"11"
"326014";"326014";"38";"5";"2";"1312";"903";"12";"2";"889";"190";"40";"38";"111";"63";"4";"-";"-";"-";"-";"4";"-";"-";"-";"67";"-";"-";"-";"324";"-";"-";"43";"-";"-";"-";"-";"-";"-";"-";"5";"-";"1312";"903";"12";"2";"889";"190";"40";"38";"111";"63";"4";"-";"-";"-";"-";"4";"-";"-";"-";"67";"-";"-";"-";"324";"-";"-";"43";"-";"-";"-";"-";"-";"-";"5"
"326015";"326015";"38";"5";"2";"2693";"1800";"24";"9";"1767";"496";"60";"74";"204";"119";"6";"-";"-";"-";"-";"12";"-";"-";"-";"176";"-";"-";"-";"572";"-";"-";"42";"-";"-";"-";"-";"-";"-";"-";"6";"-";"2693";"1800";"24";"9";"1767";"496";"60";"74";"204";"119";"6";"-";"-";"-";"-";"12";"-";"-";"-";"176";"-";"-";"-";"572";"-";"-";"42";"-";"-";"-";"-";"-";"-";"6"
"326016";"326016";"38";"5";"2";"3512";"2616";"22";"13";"2581";"615";"154";"136";"263";"262";"4";"-";"-";"-";"-";"9";"-";"-";"-";"176";"-";"-";"-";"807";"-";"-";"146";"-";"-";"-";"-";"-";"-";"-";"9";"-";"3512";"2616";"22";"13";"2581";"615";"154";"136";"263";"262";"4";"-";"-";"-";"-";"9";"-";"-";"-";"176";"-";"-";"-";"807";"-";"-";"146";"-";"-";"-";"-";"-";"-";"9"
"326017";"326017";"38";"5";"2";"631";"472";"0";"3";"469";"84";"24";"18";"43";"54";"0";"-";"-";"-";"-";"3";"-";"-";"-";"37";"-";"-";"-";"147";"-";"-";"58";"-";"-";"-";"-";"-";"-";"-";"1";"-";"631";"472";"0";"3";"469";"84";"24";"18";"43";"54";"0";"-";"-";"-";"-";"3";"-";"-";"-";"37";"-";"-";"-";"147";"-";"-";"58";"-";"-";"-";"-";"-";"-";"1"
"326018";"326018";"38";"5";"2";"3516";"2141";"15";"32";"2094";"580";"110";"73";"122";"199";"9";"-";"-";"-";"-";"29";"-";"-";"-";"118";"-";"-";"-";"768";"-";"-";"77";"-";"-";"-";"-";"-";"-";"-";"9";"-";"3516";"2141";"15";"32";"2094";"580";"110";"73";"122";"199";"9";"-";"-";"-";"-";"29";"-";"-";"-";"118";"-";"-";"-";"768";"-";"-";"77";"-";"-";"-";"-";"-";"-";"9"
"329001";"329001";"39";"5";"2";"9220";"5893";"76";"38";"5779";"1293";"228";"1619";"200";"387";"31";"-";"-";"73";"-";"-";"-";"-";"-";"173";"-";"-";"-";"1502";"-";"-";"254";"-";"-";"-";"-";"-";"-";"-";"19";"-";"9220";"5893";"76";"38";"5779";"1293";"228";"1619";"200";"387";"31";"-";"-";"73";"-";"-";"-";"-";"-";"173";"-";"-";"-";"1502";"-";"-";"254";"-";"-";"-";"-";"-";"-";"19"
"329002";"329002";"39";"5";"2";"725";"472";"4";"1";"467";"76";"14";"92";"24";"38";"3";"-";"-";"11";"-";"-";"-";"-";"-";"18";"-";"-";"-";"163";"-";"-";"26";"-";"-";"-";"-";"-";"-";"-";"2";"-";"725";"472";"4";"1";"467";"76";"14";"92";"24";"38";"3";"-";"-";"11";"-";"-";"-";"-";"-";"18";"-";"-";"-";"163";"-";"-";"26";"-";"-";"-";"-";"-";"-";"2"
"329003";"329003";"39";"5";"2";"638";"485";"8";"2";"475";"95";"11";"103";"38";"22";"6";"-";"-";"11";"-";"-";"-";"-";"-";"21";"-";"-";"-";"132";"-";"-";"35";"-";"-";"-";"-";"-";"-";"-";"1";"-";"638";"485";"8";"2";"475";"95";"11";"103";"38";"22";"6";"-";"-";"11";"-";"-";"-";"-";"-";"21";"-";"-";"-";"132";"-";"-";"35";"-";"-";"-";"-";"-";"-";"1"
"329004";"329004";"39";"5";"2";"4630";"2992";"45";"10";"2937";"644";"65";"763";"114";"160";"28";"-";"-";"97";"-";"-";"-";"-";"-";"120";"-";"-";"-";"866";"-";"-";"76";"-";"-";"-";"-";"-";"-";"-";"4";"-";"4630";"2992";"45";"10";"2937";"644";"65";"763";"114";"160";"28";"-";"-";"97";"-";"-";"-";"-";"-";"120";"-";"-";"-";"866";"-";"-";"76";"-";"-";"-";"-";"-";"-";"4"
"329005";"329005";"39";"5";"2";"1067";"811";"10";"3";"798";"130";"23";"178";"38";"94";"22";"-";"-";"20";"-";"-";"-";"-";"-";"36";"-";"-";"-";"175";"-";"-";"78";"-";"-";"-";"-";"-";"-";"-";"4";"-";"1067";"811";"10";"3";"798";"130";"23";"178";"38";"94";"22";"-";"-";"20";"-";"-";"-";"-";"-";"36";"-";"-";"-";"175";"-";"-";"78";"-";"-";"-";"-";"-";"-";"4"
"329006";"329006";"39";"5";"2";"4950";"3027";"45";"20";"2962";"672";"94";"649";"107";"265";"14";"-";"-";"36";"-";"-";"-";"-";"-";"113";"-";"-";"-";"756";"-";"-";"239";"-";"-";"-";"-";"-";"-";"-";"17";"-";"4950";"3027";"45";"20";"2962";"672";"94";"649";"107";"265";"14";"-";"-";"36";"-";"-";"-";"-";"-";"113";"-";"-";"-";"756";"-";"-";"239";"-";"-";"-";"-";"-";"-";"17"
"329008";"329008";"39";"5";"2";"1190";"918";"10";"4";"904";"156";"43";"159";"23";"153";"9";"-";"-";"28";"-";"-";"-";"-";"-";"28";"-";"-";"-";"166";"-";"-";"135";"-";"-";"-";"-";"-";"-";"-";"4";"-";"1190";"918";"10";"4";"904";"156";"43";"159";"23";"153";"9";"-";"-";"28";"-";"-";"-";"-";"-";"28";"-";"-";"-";"166";"-";"-";"135";"-";"-";"-";"-";"-";"-";"4"
"329009";"329009";"39";"5";"2";"1006";"691";"7";"1";"683";"81";"13";"285";"25";"24";"1";"-";"-";"108";"-";"-";"-";"-";"-";"22";"-";"-";"-";"98";"-";"-";"26";"-";"-";"-";"-";"-";"-";"-";"0";"-";"1006";"691";"7";"1";"683";"81";"13";"285";"25";"24";"1";"-";"-";"108";"-";"-";"-";"-";"-";"22";"-";"-";"-";"98";"-";"-";"26";"-";"-";"-";"-";"-";"-";"0"
"329010";"329010";"39";"5";"2";"1080";"802";"13";"4";"785";"165";"26";"168";"39";"58";"8";"-";"-";"10";"-";"-";"-";"-";"-";"35";"-";"-";"-";"243";"-";"-";"28";"-";"-";"-";"-";"-";"-";"-";"5";"-";"1080";"802";"13";"4";"785";"165";"26";"168";"39";"58";"8";"-";"-";"10";"-";"-";"-";"-";"-";"35";"-";"-";"-";"243";"-";"-";"28";"-";"-";"-";"-";"-";"-";"5"
"329011";"329011";"39";"5";"2";"578";"375";"4";"0";"371";"66";"3";"70";"24";"29";"6";"-";"-";"8";"-";"-";"-";"-";"-";"17";"-";"-";"-";"125";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"2";"-";"578";"375";"4";"0";"371";"66";"3";"70";"24";"29";"6";"-";"-";"8";"-";"-";"-";"-";"-";"17";"-";"-";"-";"125";"-";"-";"21";"-";"-";"-";"-";"-";"-";"2"
"329012";"329012";"39";"5";"2";"883";"634";"11";"1";"622";"121";"13";"150";"52";"44";"8";"-";"-";"12";"-";"-";"-";"-";"-";"24";"-";"-";"-";"155";"-";"-";"41";"-";"-";"-";"-";"-";"-";"-";"2";"-";"883";"634";"11";"1";"622";"121";"13";"150";"52";"44";"8";"-";"-";"12";"-";"-";"-";"-";"-";"24";"-";"-";"-";"155";"-";"-";"41";"-";"-";"-";"-";"-";"-";"2"
"329013";"329013";"39";"5";"2";"1104";"711";"12";"2";"697";"147";"17";"168";"28";"69";"4";"-";"-";"15";"-";"-";"-";"-";"-";"36";"-";"-";"-";"171";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"2";"-";"1104";"711";"12";"2";"697";"147";"17";"168";"28";"69";"4";"-";"-";"15";"-";"-";"-";"-";"-";"36";"-";"-";"-";"171";"-";"-";"40";"-";"-";"-";"-";"-";"-";"2"
"329014";"329014";"39";"5";"2";"695";"462";"4";"3";"455";"115";"10";"83";"58";"26";"4";"-";"-";"7";"-";"-";"-";"-";"-";"31";"-";"-";"-";"97";"-";"-";"19";"-";"-";"-";"-";"-";"-";"-";"5";"-";"695";"462";"4";"3";"455";"115";"10";"83";"58";"26";"4";"-";"-";"7";"-";"-";"-";"-";"-";"31";"-";"-";"-";"97";"-";"-";"19";"-";"-";"-";"-";"-";"-";"5"
"330001";"330001";"40";"5";"2";"1344";"862";"16";"3";"843";"208";"54";"65";"75";"52";"15";"-";"6";"1";"-";"-";"-";"-";"-";"97";"-";"-";"-";"239";"-";"-";"29";"-";"-";"-";"-";"-";"-";"-";"2";"-";"1344";"862";"16";"3";"843";"208";"54";"65";"75";"52";"15";"-";"6";"1";"-";"-";"-";"-";"-";"97";"-";"-";"-";"239";"-";"-";"29";"-";"-";"-";"-";"-";"-";"2"
"330002";"330002";"40";"5";"2";"1209";"790";"8";"0";"782";"167";"39";"77";"81";"52";"8";"-";"0";"0";"-";"-";"-";"-";"-";"61";"-";"-";"-";"258";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"3";"-";"1209";"790";"8";"0";"782";"167";"39";"77";"81";"52";"8";"-";"0";"0";"-";"-";"-";"-";"-";"61";"-";"-";"-";"258";"-";"-";"36";"-";"-";"-";"-";"-";"-";"3"
"330003";"330003";"40";"5";"2";"1365";"956";"19";"1";"936";"174";"81";"93";"92";"53";"9";"-";"2";"0";"-";"-";"-";"-";"-";"51";"-";"-";"-";"343";"-";"-";"35";"-";"-";"-";"-";"-";"-";"-";"3";"-";"1365";"956";"19";"1";"936";"174";"81";"93";"92";"53";"9";"-";"2";"0";"-";"-";"-";"-";"-";"51";"-";"-";"-";"343";"-";"-";"35";"-";"-";"-";"-";"-";"-";"3"
"330004";"330004";"40";"5";"2";"1460";"1070";"18";"0";"1052";"291";"37";"115";"86";"46";"30";"-";"6";"4";"-";"-";"-";"-";"-";"74";"-";"-";"-";"323";"-";"-";"39";"-";"-";"-";"-";"-";"-";"-";"1";"-";"1460";"1070";"18";"0";"1052";"291";"37";"115";"86";"46";"30";"-";"6";"4";"-";"-";"-";"-";"-";"74";"-";"-";"-";"323";"-";"-";"39";"-";"-";"-";"-";"-";"-";"1"
"330005";"330005";"40";"5";"2";"6269";"4132";"61";"15";"4056";"1435";"200";"315";"299";"219";"33";"-";"29";"22";"-";"-";"-";"-";"-";"202";"-";"-";"-";"1136";"-";"-";"150";"-";"-";"-";"-";"-";"-";"-";"16";"-";"6269";"4132";"61";"15";"4056";"1435";"200";"315";"299";"219";"33";"-";"29";"22";"-";"-";"-";"-";"-";"202";"-";"-";"-";"1136";"-";"-";"150";"-";"-";"-";"-";"-";"-";"16"
"330006";"330006";"40";"5";"2";"5796";"3280";"56";"13";"3211";"1291";"121";"202";"242";"188";"14";"-";"20";"26";"-";"-";"-";"-";"-";"186";"-";"-";"-";"748";"-";"-";"160";"-";"-";"-";"-";"-";"-";"-";"13";"-";"5796";"3280";"56";"13";"3211";"1291";"121";"202";"242";"188";"14";"-";"20";"26";"-";"-";"-";"-";"-";"186";"-";"-";"-";"748";"-";"-";"160";"-";"-";"-";"-";"-";"-";"13"
"330007";"330007";"40";"5";"2";"2029";"1391";"32";"3";"1356";"436";"37";"104";"142";"89";"9";"-";"9";"7";"-";"-";"-";"-";"-";"74";"-";"-";"-";"401";"-";"-";"46";"-";"-";"-";"-";"-";"-";"-";"2";"-";"2029";"1391";"32";"3";"1356";"436";"37";"104";"142";"89";"9";"-";"9";"7";"-";"-";"-";"-";"-";"74";"-";"-";"-";"401";"-";"-";"46";"-";"-";"-";"-";"-";"-";"2"
"330008";"330008";"40";"5";"2";"2712";"1924";"23";"6";"1895";"413";"72";"201";"195";"95";"24";"-";"10";"5";"-";"-";"-";"-";"-";"121";"-";"-";"-";"718";"-";"-";"35";"-";"-";"-";"-";"-";"-";"-";"6";"-";"2712";"1924";"23";"6";"1895";"413";"72";"201";"195";"95";"24";"-";"10";"5";"-";"-";"-";"-";"-";"121";"-";"-";"-";"718";"-";"-";"35";"-";"-";"-";"-";"-";"-";"6"
"330009";"330009";"40";"5";"2";"5949";"3357";"59";"15";"3283";"954";"162";"350";"225";"227";"26";"-";"9";"16";"-";"-";"-";"-";"-";"150";"-";"-";"-";"1000";"-";"-";"158";"-";"-";"-";"-";"-";"-";"-";"6";"-";"5949";"3357";"59";"15";"3283";"954";"162";"350";"225";"227";"26";"-";"9";"16";"-";"-";"-";"-";"-";"150";"-";"-";"-";"1000";"-";"-";"158";"-";"-";"-";"-";"-";"-";"6"
"330010";"330010";"40";"5";"2";"1380";"997";"13";"3";"981";"181";"29";"34";"60";"61";"9";"-";"10";"1";"-";"-";"-";"-";"-";"52";"-";"-";"-";"481";"-";"-";"60";"-";"-";"-";"-";"-";"-";"-";"3";"-";"1380";"997";"13";"3";"981";"181";"29";"34";"60";"61";"9";"-";"10";"1";"-";"-";"-";"-";"-";"52";"-";"-";"-";"481";"-";"-";"60";"-";"-";"-";"-";"-";"-";"3"
"330011";"330011";"40";"5";"2";"3099";"2107";"21";"4";"2082";"552";"128";"110";"83";"118";"3";"-";"15";"2";"-";"-";"-";"-";"-";"112";"-";"-";"-";"836";"-";"-";"121";"-";"-";"-";"-";"-";"-";"-";"2";"-";"3099";"2107";"21";"4";"2082";"552";"128";"110";"83";"118";"3";"-";"15";"2";"-";"-";"-";"-";"-";"112";"-";"-";"-";"836";"-";"-";"121";"-";"-";"-";"-";"-";"-";"2"
"330012";"330012";"40";"5";"2";"163";"138";"1";"0";"137";"95";"2";"2";"3";"0";"0";"-";"1";"0";"-";"-";"-";"-";"-";"2";"-";"-";"-";"28";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"3";"-";"163";"138";"1";"0";"137";"95";"2";"2";"3";"0";"0";"-";"1";"0";"-";"-";"-";"-";"-";"2";"-";"-";"-";"28";"-";"-";"1";"-";"-";"-";"-";"-";"-";"3"
"330013";"330013";"40";"5";"2";"1113";"791";"9";"3";"779";"154";"36";"70";"61";"29";"8";"-";"8";"1";"-";"-";"-";"-";"-";"61";"-";"-";"-";"306";"-";"-";"44";"-";"-";"-";"-";"-";"-";"-";"1";"-";"1113";"791";"9";"3";"779";"154";"36";"70";"61";"29";"8";"-";"8";"1";"-";"-";"-";"-";"-";"61";"-";"-";"-";"306";"-";"-";"44";"-";"-";"-";"-";"-";"-";"1"
"330014";"330014";"40";"5";"2";"386";"271";"5";"2";"264";"47";"17";"23";"19";"9";"0";"-";"3";"0";"-";"-";"-";"-";"-";"13";"-";"-";"-";"121";"-";"-";"12";"-";"-";"-";"-";"-";"-";"-";"0";"-";"386";"271";"5";"2";"264";"47";"17";"23";"19";"9";"0";"-";"3";"0";"-";"-";"-";"-";"-";"13";"-";"-";"-";"121";"-";"-";"12";"-";"-";"-";"-";"-";"-";"0"
"330015";"330015";"40";"5";"2";"2391";"1606";"17";"8";"1581";"368";"84";"88";"80";"65";"13";"-";"4";"2";"-";"-";"-";"-";"-";"108";"-";"-";"-";"713";"-";"-";"55";"-";"-";"-";"-";"-";"-";"-";"1";"-";"2391";"1606";"17";"8";"1581";"368";"84";"88";"80";"65";"13";"-";"4";"2";"-";"-";"-";"-";"-";"108";"-";"-";"-";"713";"-";"-";"55";"-";"-";"-";"-";"-";"-";"1"
"330016";"330016";"40";"5";"2";"429";"299";"4";"1";"294";"61";"24";"18";"30";"10";"2";"-";"1";"0";"-";"-";"-";"-";"-";"20";"-";"-";"-";"118";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"0";"-";"429";"299";"4";"1";"294";"61";"24";"18";"30";"10";"2";"-";"1";"0";"-";"-";"-";"-";"-";"20";"-";"-";"-";"118";"-";"-";"10";"-";"-";"-";"-";"-";"-";"0"
"330017";"330017";"40";"5";"2";"143";"113";"3";"1";"109";"66";"2";"2";"2";"4";"0";"-";"2";"0";"-";"-";"-";"-";"-";"5";"-";"-";"-";"15";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"0";"-";"143";"113";"3";"1";"109";"66";"2";"2";"2";"4";"0";"-";"2";"0";"-";"-";"-";"-";"-";"5";"-";"-";"-";"15";"-";"-";"11";"-";"-";"-";"-";"-";"-";"0"
"330018";"330018";"40";"5";"2";"550";"379";"4";"1";"374";"74";"22";"11";"32";"21";"2";"-";"3";"0";"-";"-";"-";"-";"-";"32";"-";"-";"-";"163";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"0";"-";"550";"379";"4";"1";"374";"74";"22";"11";"32";"21";"2";"-";"3";"0";"-";"-";"-";"-";"-";"32";"-";"-";"-";"163";"-";"-";"14";"-";"-";"-";"-";"-";"-";"0"
"330019";"330019";"40";"5";"2";"6186";"3325";"81";"13";"3231";"745";"209";"328";"213";"282";"70";"-";"27";"5";"-";"-";"-";"-";"-";"135";"-";"-";"-";"1070";"-";"-";"136";"-";"-";"-";"-";"-";"-";"-";"11";"-";"6186";"3325";"81";"13";"3231";"745";"209";"328";"213";"282";"70";"-";"27";"5";"-";"-";"-";"-";"-";"135";"-";"-";"-";"1070";"-";"-";"136";"-";"-";"-";"-";"-";"-";"11"
"330020";"330020";"40";"5";"2";"4625";"2966";"53";"6";"2907";"775";"145";"323";"171";"209";"32";"-";"18";"7";"-";"-";"-";"-";"-";"111";"-";"-";"-";"1001";"-";"-";"110";"-";"-";"-";"-";"-";"-";"-";"5";"-";"4625";"2966";"53";"6";"2907";"775";"145";"323";"171";"209";"32";"-";"18";"7";"-";"-";"-";"-";"-";"111";"-";"-";"-";"1001";"-";"-";"110";"-";"-";"-";"-";"-";"-";"5"
"330021";"330021";"40";"5";"2";"5260";"3638";"60";"7";"3571";"939";"172";"382";"201";"259";"32";"-";"23";"4";"-";"-";"-";"-";"-";"162";"-";"-";"-";"1295";"-";"-";"97";"-";"-";"-";"-";"-";"-";"-";"5";"-";"5260";"3638";"60";"7";"3571";"939";"172";"382";"201";"259";"32";"-";"23";"4";"-";"-";"-";"-";"-";"162";"-";"-";"-";"1295";"-";"-";"97";"-";"-";"-";"-";"-";"-";"5"
"330022";"330022";"40";"5";"2";"6928";"3985";"69";"11";"3905";"1167";"185";"383";"234";"273";"46";"-";"19";"11";"-";"-";"-";"-";"-";"187";"-";"-";"-";"1181";"-";"-";"209";"-";"-";"-";"-";"-";"-";"-";"10";"-";"6928";"3985";"69";"11";"3905";"1167";"185";"383";"234";"273";"46";"-";"19";"11";"-";"-";"-";"-";"-";"187";"-";"-";"-";"1181";"-";"-";"209";"-";"-";"-";"-";"-";"-";"10"
"330024";"330024";"40";"5";"2";"1066";"726";"8";"2";"716";"133";"27";"81";"57";"48";"11";"-";"5";"1";"-";"-";"-";"-";"-";"46";"-";"-";"-";"290";"-";"-";"17";"-";"-";"-";"-";"-";"-";"-";"0";"-";"1066";"726";"8";"2";"716";"133";"27";"81";"57";"48";"11";"-";"5";"1";"-";"-";"-";"-";"-";"46";"-";"-";"-";"290";"-";"-";"17";"-";"-";"-";"-";"-";"-";"0"
"330025";"330025";"40";"5";"2";"2138";"1595";"28";"4";"1563";"406";"38";"167";"108";"93";"7";"-";"5";"4";"-";"-";"-";"-";"-";"89";"-";"-";"-";"604";"-";"-";"41";"-";"-";"-";"-";"-";"-";"-";"1";"-";"2138";"1595";"28";"4";"1563";"406";"38";"167";"108";"93";"7";"-";"5";"4";"-";"-";"-";"-";"-";"89";"-";"-";"-";"604";"-";"-";"41";"-";"-";"-";"-";"-";"-";"1"
"330026";"330026";"40";"5";"2";"476";"346";"5";"1";"340";"96";"9";"22";"23";"28";"6";"-";"0";"0";"-";"-";"-";"-";"-";"23";"-";"-";"-";"119";"-";"-";"14";"-";"-";"-";"-";"-";"-";"-";"0";"-";"476";"346";"5";"1";"340";"96";"9";"22";"23";"28";"6";"-";"0";"0";"-";"-";"-";"-";"-";"23";"-";"-";"-";"119";"-";"-";"14";"-";"-";"-";"-";"-";"-";"0"
"336001";"336001";"33";"5";"2";"4816";"3249";"57";"10";"3182";"780";"171";"357";"122";"181";"22";"-";"-";"-";"334";"-";"-";"-";"-";"200";"-";"-";"-";"779";"-";"-";"236";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4816";"3249";"57";"10";"3182";"780";"171";"357";"122";"181";"22";"-";"-";"-";"334";"-";"-";"-";"-";"200";"-";"-";"-";"779";"-";"-";"236";"-";"-";"-";"-";"-";"-";"-"
"336002";"336002";"33";"5";"2";"5926";"4146";"56";"21";"4069";"932";"216";"616";"158";"249";"36";"-";"-";"-";"213";"-";"-";"-";"-";"238";"-";"-";"-";"1173";"-";"-";"238";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5926";"4146";"56";"21";"4069";"932";"216";"616";"158";"249";"36";"-";"-";"-";"213";"-";"-";"-";"-";"238";"-";"-";"-";"1173";"-";"-";"238";"-";"-";"-";"-";"-";"-";"-"
"336003";"336003";"33";"5";"2";"4985";"3371";"40";"29";"3302";"894";"183";"473";"114";"145";"28";"-";"-";"-";"323";"-";"-";"-";"-";"256";"-";"-";"-";"678";"-";"-";"208";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4985";"3371";"40";"29";"3302";"894";"183";"473";"114";"145";"28";"-";"-";"-";"323";"-";"-";"-";"-";"256";"-";"-";"-";"678";"-";"-";"208";"-";"-";"-";"-";"-";"-";"-"
"336004";"336004";"33";"5";"2";"3230";"2297";"31";"9";"2257";"535";"150";"295";"58";"107";"27";"-";"-";"-";"312";"-";"-";"-";"-";"192";"-";"-";"-";"424";"-";"-";"157";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3230";"2297";"31";"9";"2257";"535";"150";"295";"58";"107";"27";"-";"-";"-";"312";"-";"-";"-";"-";"192";"-";"-";"-";"424";"-";"-";"157";"-";"-";"-";"-";"-";"-";"-"
"340001";"340001";"39";"5";"2";"4687";"2843";"46";"23";"2774";"887";"53";"874";"168";"166";"31";"-";"-";"23";"-";"-";"-";"-";"-";"203";"-";"-";"-";"260";"-";"-";"92";"-";"-";"-";"5";"-";"-";"-";"12";"-";"4687";"2843";"46";"23";"2774";"887";"53";"874";"168";"166";"31";"-";"-";"23";"-";"-";"-";"-";"-";"203";"-";"-";"-";"260";"-";"-";"92";"-";"-";"5";"-";"-";"-";"12"
"340002";"340002";"39";"5";"2";"1630";"927";"17";"4";"906";"272";"10";"364";"58";"41";"7";"-";"-";"11";"-";"-";"-";"-";"-";"56";"-";"-";"-";"34";"-";"-";"44";"-";"-";"-";"2";"-";"-";"-";"7";"-";"1630";"927";"17";"4";"906";"272";"10";"364";"58";"41";"7";"-";"-";"11";"-";"-";"-";"-";"-";"56";"-";"-";"-";"34";"-";"-";"44";"-";"-";"2";"-";"-";"-";"7"
"340004";"340004";"39";"5";"2";"1530";"989";"16";"2";"971";"259";"19";"258";"79";"72";"12";"-";"-";"1";"-";"-";"-";"-";"-";"46";"-";"-";"-";"161";"-";"-";"46";"-";"-";"-";"11";"-";"-";"-";"7";"-";"1530";"989";"16";"2";"971";"259";"19";"258";"79";"72";"12";"-";"-";"1";"-";"-";"-";"-";"-";"46";"-";"-";"-";"161";"-";"-";"46";"-";"-";"11";"-";"-";"-";"7"
"340005";"340005";"39";"5";"2";"4372";"3089";"40";"23";"3026";"933";"139";"953";"73";"373";"29";"-";"-";"7";"-";"-";"-";"-";"-";"90";"-";"-";"-";"245";"-";"-";"153";"-";"-";"-";"21";"-";"-";"-";"10";"-";"4372";"3089";"40";"23";"3026";"933";"139";"953";"73";"373";"29";"-";"-";"7";"-";"-";"-";"-";"-";"90";"-";"-";"-";"245";"-";"-";"153";"-";"-";"21";"-";"-";"-";"10"
"340006";"340006";"39";"5";"2";"3945";"3075";"32";"4";"3039";"912";"133";"749";"89";"492";"27";"-";"-";"6";"-";"-";"-";"-";"-";"63";"-";"-";"-";"321";"-";"-";"204";"-";"-";"-";"35";"-";"-";"-";"8";"-";"3945";"3075";"32";"4";"3039";"912";"133";"749";"89";"492";"27";"-";"-";"6";"-";"-";"-";"-";"-";"63";"-";"-";"-";"321";"-";"-";"204";"-";"-";"35";"-";"-";"-";"8"
"340008";"340008";"39";"5";"2";"3229";"2266";"50";"12";"2204";"715";"54";"642";"115";"164";"19";"-";"-";"2";"-";"-";"-";"-";"-";"90";"-";"-";"-";"312";"-";"-";"76";"-";"-";"-";"8";"-";"-";"-";"7";"-";"3229";"2266";"50";"12";"2204";"715";"54";"642";"115";"164";"19";"-";"-";"2";"-";"-";"-";"-";"-";"90";"-";"-";"-";"312";"-";"-";"76";"-";"-";"8";"-";"-";"-";"7"
"340010";"340010";"39";"5";"2";"4370";"2668";"47";"17";"2604";"726";"50";"751";"216";"218";"33";"-";"-";"9";"-";"-";"-";"-";"-";"162";"-";"-";"-";"314";"-";"-";"100";"-";"-";"-";"7";"-";"-";"-";"18";"-";"4370";"2668";"47";"17";"2604";"726";"50";"751";"216";"218";"33";"-";"-";"9";"-";"-";"-";"-";"-";"162";"-";"-";"-";"314";"-";"-";"100";"-";"-";"7";"-";"-";"-";"18"
