"Id";"ValgId";"AdrKom";"ValgstedKode";"Kreds Nr";"Valgsted Id";"RefValgId";"RefValgstedKode";"RefValgstedId";"RefAdrKom";"RefKredsNr";"Personer";"TotalPersoner";"Divergens";"Multi";"Fejl";"DivergensGruppe";"DivergensGruppePersoner";"OrgGruppe";"GeoId"
"45";"285";"350";"12";"34";"8698";"285";"12";"8698";"350";"34";"2485";"2485";"0";"1";"0";"350012";"2485";"350012";"350012"
"46";"285";"661";"6";"82";"9169";"285";"6";"9169";"661";"82";"4541";"4541";"0";"1";"0";"661006";"4541";"661006";"661006"
"47";"285";"851";"52";"91";"9355";"285";"52";"9355";"851";"91";"1735";"1735";"0";"1";"0";"851052";"1735";"851052";"851052"
"48";"285";"265";"1";"36";"8704";"285";"1";"8704";"265";"36";"4718";"4718";"0";"1";"0";"265001";"4718";"265001";"265001"
"49";"285";"316";"2";"37";"9584";"285";"2";"9584";"316";"37";"8189";"8189";"0";"1";"0";"316002";"8189";"316002";"316002"
"50";"285";"482";"10";"47";"9490";"285";"10";"9490";"482";"47";"1047";"1047";"0";"1";"0";"482010";"1047";"482010";"482010"
"51";"285";"430";"7";"48";"9846";"285";"7";"9846";"430";"48";"6847";"6847";"0";"1";"0";"430007";"6847";"430007";"430007"
"52";"285";"230";"3";"26";"9743";"285";"3";"9743";"230";"26";"5249";"5249";"0";"1";"0";"230003";"5249";"230003";"230003"
"53";"285";"550";"16";"51";"8895";"285";"16";"8895";"550";"51";"694";"694";"0";"1";"0";"550016";"694";"550016";"550016"
"54";"285";"760";"2";"83";"9174";"285";"2";"9174";"760";"83";"1264";"1264";"0";"1";"0";"760002";"1264";"760002";"760002"
"55";"285";"376";"3";"30";"8629";"285";"3";"8629";"376";"30";"3194";"3194";"0";"1";"0";"376003";"3194";"376003";"376003"
"56";"285";"760";"13";"83";"9179";"285";"13";"9179";"760";"83";"750";"750";"0";"1";"0";"760013";"750";"760013";"760013"
"57";"285";"779";"10";"74";"9141";"285";"10";"9141";"779";"74";"1245";"1245";"0";"1";"0";"779010";"1245";"779010";"779010"
"58";"285";"326";"4";"38";"9472";"285";"4";"9472";"326";"38";"2494";"2494";"0";"1";"0";"326004";"2494";"326004";"326004"
"59";"285";"185";"3";"12";"8491";"285";"3";"8491";"185";"12";"5325";"5325";"0";"1";"0";"185003";"5325";"185003";"185003"
"60";"285";"250";"3";"24";"10028";"285";"3";"10028";"250";"24";"5252";"5252";"0";"1";"0";"250003";"5252";"250003";"250003"
"61";"285";"860";"26";"85";"9233";"285";"26";"9233";"860";"85";"1306";"1306";"0";"1";"0";"860026";"1306";"860026";"860026"
"62";"285";"851";"46";"92";"9362";"285";"46";"9362";"851";"92";"1163";"1163";"0";"1";"0";"851046";"1163";"851046";"851046"
"63";"285";"730";"28";"68";"9905";"285";"28";"9905";"730";"68";"4330";"4330";"0";"1";"0";"730028";"4330";"730028";"730028"
"64";"285";"270";"8";"23";"8589";"285";"8";"8589";"270";"23";"6814";"6814";"0";"1";"0";"270008";"6814";"270008";"270008"
"65";"285";"550";"71";"51";"8907";"285";"71";"8907";"550";"51";"617";"617";"0";"1";"0";"550071";"617";"550071";"550071"
"66";"285";"787";"27";"87";"9312";"285";"27";"9312";"787";"87";"929";"929";"0";"1";"0";"787027";"929";"787027";"787027"
"67";"285";"707";"2";"66";"9041";"285";"2";"9041";"707";"66";"155";"155";"0";"1";"0";"707002";"155";"707002";"707002"
"68";"285";"430";"4";"48";"8869";"285";"4";"8869";"430";"48";"882";"882";"0";"1";"0";"430004";"882";"430004";"430004"
"69";"285";"787";"2";"87";"9288";"285";"2";"9288";"787";"87";"1014";"1014";"0";"1";"0";"787002";"1014";"787002";"787002"
"70";"285";"390";"4";"31";"9451";"285";"4";"9451";"390";"31";"2573";"2573";"0";"1";"0";"390004";"2573";"390004";"390004"
"71";"285";"657";"11";"80";"9662";"285";"11";"9662";"657";"80";"653";"653";"0";"1";"0";"657011";"653";"657011";"657011"
"72";"285";"657";"28";"81";"9671";"285";"28";"9671";"657";"81";"446";"446";"0";"1";"0";"657028";"446";"657028";"657028"
"73";"285";"630";"33";"56";"10021";"285";"33";"10021";"630";"56";"2134";"2134";"0";"1";"0";"630033";"2134";"630033";"630033"
"74";"285";"851";"18";"91";"9351";"285";"18";"9351";"851";"91";"5070";"5070";"0";"1";"0";"851018";"5070";"851018";"851018"
"75";"285";"740";"7";"77";"9640";"285";"7";"9640";"740";"77";"4585";"4585";"0";"1";"0";"740007";"4585";"740007";"740007"
"76";"285";"540";"4";"49";"9601";"285";"4";"9601";"540";"49";"1904";"1904";"0";"1";"0";"540004";"1904";"540004";"540004"
"77";"285";"849";"4";"86";"9252";"285";"4";"9252";"849";"86";"987";"987";"0";"1";"0";"849004";"987";"849004";"849004"
"78";"285";"751";"42";"64";"9019";"285";"42";"9019";"751";"64";"11424";"11424";"0";"1";"0";"751042";"11424";"751042";"751042"
"79";"285";"330";"21";"40";"8771";"285";"21";"8771";"330";"40";"5348";"5348";"0";"1";"0";"330021";"5348";"330021";"330021"
"80";"285";"561";"15";"52";"9853";"285";"15";"9853";"561";"52";"5606";"5606";"0";"1";"0";"561015";"5606";"561015";"561015"
"81";"285";"580";"9";"50";"9623";"285";"9";"9623";"580";"50";"1818";"1818";"0";"1";"0";"580009";"1818";"580009";"580009"
"82";"285";"480";"9";"45";"8837";"285";"9";"8837";"480";"45";"1217";"1217";"0";"1";"0";"480009";"1217";"480009";"480009"
"83";"285";"851";"31";"90";"9344";"285";"31";"9344";"851";"90";"6291";"6291";"0";"1";"0";"851031";"6291";"851031";"851031"
"84";"285";"190";"5";"25";"8605";"285";"5";"8605";"190";"25";"4343";"4343";"0";"1";"0";"190005";"4343";"190005";"190005"
"85";"285";"840";"6";"88";"9326";"285";"6";"9326";"840";"88";"1116";"1116";"0";"1";"0";"840006";"1116";"840006";"840006"
"86";"285";"480";"10";"45";"8838";"285";"10";"8838";"480";"45";"1160";"1160";"0";"1";"0";"480010";"1160";"480010";"480010"
"87";"285";"550";"3";"51";"8888";"285";"3";"8888";"550";"51";"444";"444";"0";"1";"0";"550003";"444";"550003";"550003"
"88";"285";"820";"13";"88";"9753";"285";"13";"9753";"820";"88";"936";"936";"0";"1";"0";"820013";"936";"820013";"820013"
"89";"285";"665";"3";"73";"9122";"285";"3";"9122";"665";"73";"2113";"2113";"0";"1";"0";"665003";"2113";"665003";"665003"
"90";"285";"147";"4";"10";"9816";"285";"4";"9816";"147";"10";"11564";"11564";"0";"1";"0";"147004";"11564";"147004";"147004"
"91";"285";"101";"8";"2";"9770";"285";"8";"9770";"101";"2";"15781";"15781";"0";"1";"0";"101008";"15781";"101008";"101008"
"92";"285";"376";"4";"30";"8630";"285";"4";"8630";"376";"30";"3706";"3706";"0";"1";"0";"376004";"3706";"376004";"376004"
"93";"285";"450";"2";"46";"8842";"285";"2";"8842";"450";"46";"7733";"7733";"0";"1";"0";"450002";"7733";"450002";"450002"
"94";"285";"561";"8";"53";"9856";"285";"8";"9856";"561";"53";"1756";"1756";"0";"1";"0";"561008";"1756";"561008";"561008"
